X,Y,OBJECTID,LAT,LON,LONGNAME,Nombre,Profundida,Longitud,Ancho,Alto,SOURCETHM,vertiente,Municipio
229645.773344746,3191555.11145318,75,+3191555.111,+229645.7733,u, ,0,0,0,0, ,N,Barlovento
230411.305876974,3171631.61060148,76,+3171631.610,+230411.3058,u, ,0,0,0,0, ,E,Breña Baja
230848.511594797,3169773.04605988,77,+3169773.046,+230848.5115,u, ,0,0,0,0, ,E,Mazo
231026.334851608,3169440.11210595,78,+3169440.112,+231026.3348,u, ,0,0,0,0, ,E,Mazo
230568.117985801,3168305.4991961,79,+3168305.499,+230568.1179,u, ,0,0,0,0, ,E,Mazo
230479.197826896,3167855.63059259,80,+3167855.630,+230479.1978,u, ,0,0,0,0, ,E,Mazo
230529.599758936,3167553.19149511,81,+3167553.191,+230529.5997,u, ,0,0,0,0, ,E,Mazo
230501.650004924,3167215.15587054,82,+3167215.155,+230501.6500,u, ,0,0,0,0, ,E,Mazo
230481.322911094,3166983.86833793,83,+3166983.868,+230481.3229,u, ,0,0,0,0, ,E,Mazo
230483.863797848,3166833.91268493,84,+3166833.912,+230483.8637,u, ,0,0,0,0, ,E,Mazo
230476.241137717,3166353.54627107,85,+3166353.546,+230476.2411,u, ,0,0,0,0, ,E,Mazo
230491.486458105,3166412.00355953,86,+3166412.003,+230491.4864,u, ,0,0,0,0, ,E,Mazo
230552.467739681,3166473.00246923,87,+3166473.002,+230552.4677,u, ,0,0,0,0, ,E,Mazo
230542.304192753,3166450.12787809,88,+3166450.127,+230542.3041,u, ,0,0,0,0, ,E,Mazo
230019.063234704,3163746.72538356,89,+3163746.725,+230019.0632,u, ,0,0,0,0, ,E,Mazo
233150.873867431,3180630.82858595,90,+3180630.828,+233150.8738,u, ,0,0,0,0, ,E,Puntallana
233446.821998154,3181286.5602671,91,+3181286.560,+233446.8219,u, ,0,0,0,0, ,E,Puntallana
233836.963749597,3182255.05319864,92,+3182255.053,+233836.9637,u, ,0,0,0,0, ,E,Puntallana
233387.628456848,3182735.3993641,93,+3182735.399,+233387.6284,u, ,0,0,0,0, ,E,Puntallana
233367.319727071,3182781.12763855,94,+3182781.127,+233367.3197,u, ,0,0,0,0, ,E,Puntallana
231228.81688308,3186819.58122292,95,+3186819.581,+231228.8168,u, ,0,0,0,0, ,N,Puntallana
230969.85200875,3187485.39449663,96,+3187485.394,+230969.8520,u, ,0,0,0,0, ,N,San Andres y S*
